query	time	cardinality
Q1.sparql	2.6147680283	11570
Q10.sparql	207.0854370594	14
Q11.sparql	203.4147069454	16
Q2.sparql	29.9056839943	119976
Q3.sparql	227.4650039673	53
Q4.sparql	199.9718351364	17
Q5.sparql	1.0488431454	53
Q6.sparql	196.1418941021	14
Q7.sparql	0.4201898575	0
Q8.sparql	0.4041769505	0
Q9.sparql	0.4145090580	0
q17.rq	0.8856339455	3495
q18.rq	0.5465741158	495
q19.rq	1.1256470680	5306
q20.rq	0.7208609581	1652
q23.rq	0.5219779015	10
q25.rq	0.6757421494	1182
q26.rq	1.0536170006	2867
q28.rq	0.4783110619	25
q30.rq	0.5900700092	12